tag_he,slug,trait_group,valence,source
חמים,warm,warmth_trust,positive,"Fletcher et al. 1999; Big Five; IPC"
אכפתי,caring,warmth_trust,positive,"Fletcher et al. 1999; IPC"
אותנטי,authentic,warmth_trust,positive,"Fletcher et al. 1999"
נעים,pleasant,warmth_trust,positive,"IPC"
מקשיב,listener,responsiveness,positive,"Reis & Gable 2015"
מתעניין,interested,responsiveness,positive,"Reis & Gable 2015"
זורם בשיחה,conversational,responsiveness,positive,"Reis & Gable 2015"
דברן,talkative,extraversion_agency,positive,"Big Five; IPC"
אנרגטי,energetic,extraversion_agency,positive,"Big Five; IPC"
בטוח בעצמו,confident,extraversion_agency,positive,"Big Five; IPC"
מצחיק,funny,positive_humor,positive,"Wilbur & Campbell 2011"
שנון,witty,positive_humor,positive,"Wilbur & Campbell 2011"
קליל,lighthearted,positive_humor,positive,"Wilbur & Campbell 2011"
מושך,attractive,vitality_attraction,positive,"Fletcher et al. 1999"
תוסס,lively,vitality_attraction,positive,"Fletcher et al. 1999"
מרוחק,distant,negative,negative,"IPC"
מתנשא,arrogant,negative,negative,"IPC"
מרוכז בעצמו,self_centered,negative,negative,"IPC"
משעמם,boring,negative,negative,"IPC"
